density,pH,alcohol,quality,wineType,satisfied,price
0.9947,3.14,9.7,5,W,Yes,11.25
0.992,3.18,10.8,5,W,Yes,15.78
0.9912,3.54,12.4,7,W,No,23.02
1.0002,2.98,9.7,5,W,Yes,7.97
0.9914,3.25,11.4,7,W,No,23.05
0.9928,3.24,9.6,6,W,No,16.68
0.9892,3.33,12.8,8,W,No,29.55
0.9917,3.12,11.3,6,W,No,20.63
0.9955,3.22,9.5,5,W,Yes,7.25
0.9892,3.33,12.8,8,W,No,29.55
0.9912,3.17,11,7,W,No,21.39
0.993,3.47,10.5,8,W,No,22.51
0.9937,3.05,9.3,5,W,Yes,13.75
0.9951,3.42,10,6,W,No,16.24
0.9955,3.25,10.4,6,W,No,10.2
0.993,3.45,10,6,W,No,16.39
0.9961,3.38,10.5,6,W,No,9.94
0.9914,3.19,11.6,6,W,No,20.72
0.9906,3.1,12.3,7,W,No,25.77
0.9974,3.2,10,6,W,No,8.35
0.9934,3.47,10.2,6,W,No,16.54
0.992,3.19,10.8,6,W,No,18.26
0.9939,3.42,9,6,W,No,14.29
0.9962,3.37,10.2,5,W,Yes,5.18
0.9905,3.19,12.8,5,W,Yes,18.36
0.9934,3.24,10,5,W,Yes,10.03
0.9906,3.13,11.2,6,W,No,20.27
0.9999,3.21,8.6,5,W,Yes,9.55
0.9999,3.21,8.6,5,W,Yes,9.55
0.9937,3.11,9.4,6,W,No,15.64
0.9937,3.1,9.4,6,W,No,15.29
0.9954,3.13,9.8,6,W,No,11.39
0.9934,3.22,9.5,6,W,No,16.3
0.9934,3.24,9.5,6,W,No,16.19
0.9931,3.16,10,7,W,No,20.75
0.994,3.27,9.8,4,W,Yes,7.59
0.9939,3.25,9.8,5,W,Yes,10.68
0.9954,3.13,9.8,6,W,No,11.39
0.995,3.36,9.8,5,W,Yes,9.58
0.9917,3.35,11.7,6,W,No,19.36
0.9914,3.34,11,7,W,No,21.95
0.991,3.32,10.9,7,W,No,21.88
0.9911,3.31,10.9,6,W,No,18.76
0.993,3.05,9.1,6,W,No,17
0.9908,3.13,11,6,W,No,19.79
0.9962,3.09,9.6,6,W,No,6.74
0.9972,3.3,8.9,6,W,No,8.78
0.9931,3.11,10.2,6,W,No,15.08
0.9926,3.36,9.9,6,W,No,16.48
0.9951,3.03,8.6,6,W,No,12.13
0.9972,3.3,8.9,6,W,No,8.78
0.991,3.02,10.5,5,W,Yes,16.28
0.9931,3.11,10.2,6,W,No,15.08
0.9927,3.15,10.3,6,W,No,18.22
0.9934,3.22,9.1,5,W,Yes,12.93
0.9903,3.22,12.6,7,W,No,20.99
0.992,3.14,9.8,5,W,Yes,14.41
0.9926,3.33,10.7,8,W,No,23.61
0.9962,3.13,9.5,5,W,Yes,5.08
0.9956,3.1,9,6,W,No,9.62
0.9958,3.32,9.5,5,W,Yes,9.71
0.9964,3.69,10,5,W,Yes,8.75
0.9941,2.95,9.1,6,W,No,17.51
0.9926,3.33,10.7,8,W,No,23.61
0.9962,3.13,9.5,5,W,Yes,5.08
0.9898,3.26,12.7,7,W,No,25.87
0.9912,3.31,12,7,W,No,24.08
0.9961,2.94,9.3,5,W,Yes,7.02
0.9949,3.27,9,5,W,Yes,8.36
0.9929,3.39,10.6,6,W,No,17.36
0.9985,3.21,9.2,6,W,No,6.2
0.9946,3.17,10,5,W,Yes,9.67
0.9966,3.33,9.5,6,W,No,8.92
0.9974,3.11,8.7,5,W,Yes,7.19
0.9975,3.12,8.7,6,W,No,9.93
0.9974,3.09,8.7,6,W,No,5.89
0.9972,3.22,9.7,6,W,No,9.77
0.9974,3.11,8.7,5,W,Yes,7.19
0.9975,3.12,8.7,6,W,No,9.93
0.9974,3.09,8.7,6,W,No,5.89
0.9957,3.12,9,5,W,Yes,6.92
0.99,3.26,12.6,7,W,No,25.36
0.9899,3.25,12.6,7,W,No,25.34
0.9916,3.21,11.5,7,W,No,23.38
0.9969,3.04,9.2,6,W,No,5.76
0.9979,3.14,8.8,6,W,No,5.92
0.9913,2.95,11.4,7,W,No,25.85
0.9956,2.89,10.1,4,W,Yes,8.48
0.9979,3.14,8.8,6,W,No,5.92
0.9975,3,9.1,5,W,Yes,6.67
0.9962,3.4,9.4,5,W,Yes,9.22
0.997,3.34,9.4,5,W,Yes,6.97
1,2.99,9,5,W,Yes,8.85
0.9975,3,9.1,5,W,Yes,6.67
0.9974,3.2,9.2,6,W,No,7.85
0.9962,3.4,9.4,5,W,Yes,9.22
0.999,3.16,9.1,6,W,No,5.78
0.999,3.16,9.1,6,W,No,5.78
0.9927,3.27,10.3,5,W,Yes,14.45
0.9959,2.89,8.8,6,W,No,9.77
1,3.04,8.9,5,W,Yes,9.11
0.9982,3.01,9.2,5,W,Yes,6.98
0.9968,3.22,9.1,5,W,Yes,9.93
0.9968,3.22,9.1,5,W,Yes,9.93
0.994,3.63,9.7,4,W,Yes,9.19
0.9914,3.31,11.3,6,W,No,17.18
0.9911,3.19,11.8,6,W,No,20.49
0.9982,3.01,9.2,5,W,Yes,6.98
0.9982,3.04,9.2,5,W,Yes,6.83
0.9934,3.22,10.2,5,W,Yes,10.14
0.9984,3.01,8.8,5,W,Yes,7.42
0.9952,3.29,9.7,5,W,Yes,7.89
0.9952,3.29,9.1,6,W,No,11.6
0.9928,3.21,9.8,6,W,No,16.72
0.9912,3.27,11,6,W,No,19.08
0.994,3.14,10.5,5,W,Yes,9.72
0.9958,3.45,9.7,7,W,No,12.08
0.9924,3.3,10.9,7,W,No,20.32
0.9924,3.31,10.9,6,W,No,17.06
0.994,3.39,10.6,5,W,Yes,5.23
0.9958,3.45,9.7,7,W,No,12.08
0.9979,3.23,9,5,W,Yes,5.83
0.9982,3.24,9.2,5,W,Yes,6.6
0.9961,3.19,8.9,5,W,Yes,5.85
0.9979,3.26,9.6,5,W,Yes,5.98
0.992,3.12,10.7,6,W,No,19.38
0.9975,3.16,8.7,5,W,Yes,8.27
0.9917,3.15,10.8,7,W,No,22.1
0.9923,3.23,11.8,6,W,No,20.02
0.9927,3.3,10.2,5,W,Yes,13.25
0.9975,3.16,8.7,5,W,Yes,8.27
0.992,3.21,10.8,6,W,No,18.99
0.9947,3.18,9.7,6,W,No,14
0.9921,3.12,11.2,6,W,No,19.54
0.9905,3,10.9,6,W,No,20.7
0.9918,3.28,10.1,6,W,No,17.08
0.9951,3.38,9,4,W,Yes,5.45
0.9917,3.38,12,7,W,No,20.25
0.994,2.99,9.4,6,W,No,14.76
0.9934,3.12,11.5,7,W,No,17.8
0.9968,3.14,9.9,6,W,No,8.72
0.994,2.99,9.4,6,W,No,14.76
0.9919,3.14,10.4,5,W,Yes,15.36
0.9966,3.06,9.7,6,W,No,11.52
0.9979,2.89,8.9,6,W,No,9.48
0.9979,2.89,8.9,6,W,No,9.48
0.9898,3.29,12.4,7,W,No,24.88
0.9894,3.36,12.1,8,W,No,27.41
0.9894,3.36,12.1,8,W,No,27.41
0.9898,3.29,12.4,7,W,No,24.88
0.998,2.98,9.1,5,W,Yes,5.77
0.9932,3.28,10.6,5,W,Yes,11.36
0.9979,2.89,8.9,6,W,No,9.48
0.997,3.15,9.5,5,W,Yes,6.98
0.9972,3.16,9.8,5,W,Yes,7.51
0.9974,3.14,9.6,6,W,No,9.64
0.9896,3.08,12.6,7,W,No,26.24
0.9968,3.08,9.3,5,W,Yes,6.15
0.9958,2.87,10,5,W,Yes,7.57
0.9906,3.12,12.7,6,W,No,22.92
0.9917,3.13,11,6,W,No,19.59
0.9902,3.03,11.4,4,W,Yes,14.25
0.9918,3.35,11.5,7,W,No,19.48
0.999,3.09,10.2,5,W,Yes,6.2
0.9927,3.11,11.4,6,W,No,14.49
0.991,3.03,12.6,4,W,Yes,11.53
0.9972,3.28,9.4,5,W,Yes,6.43
0.9931,3.11,8.7,4,W,Yes,9.99
0.995,3.19,9.2,6,W,No,11.8
0.9951,3.19,9.3,6,W,No,11.99
0.9936,3.09,9.2,5,W,Yes,13.69
1.001,2.93,8.7,5,W,Yes,7.15
0.9979,3.18,9.6,6,W,No,9.11
0.997,3.02,9.3,5,W,Yes,8.5
0.9972,3.02,9.3,5,W,Yes,8.5
0.9954,3.12,9.9,6,W,No,9.64
0.9924,3.15,11,5,W,Yes,13.26
0.9906,3.26,12.7,8,W,No,27.37
0.9962,3.09,8.9,4,W,Yes,8.02
0.9962,3.09,8.9,6,W,No,8.78
1.001,2.93,8.7,5,W,Yes,7.15
0.9928,3.02,11.4,6,W,No,14.65
0.9942,3.36,9.6,5,W,Yes,9.19
0.9942,3.02,9.1,5,W,Yes,11.47
0.9942,3.02,9.1,6,W,No,14.58
0.9942,3.01,9.1,5,W,Yes,11.52
0.9961,3.13,8.9,5,W,Yes,6.42
0.998,3.1,8.8,5,W,Yes,6.09
0.9961,3.13,8.9,5,W,Yes,6.42
0.9984,3.15,9.3,5,W,Yes,6.34
0.998,3.1,8.8,5,W,Yes,6.09
0.9973,3.2,9.6,5,W,Yes,6.8
0.9949,3.33,12,6,W,No,7.72
0.9924,3.28,10.2,4,W,Yes,10.14
0.9972,3.15,8.8,5,W,Yes,7.37
0.9958,3.21,9.2,5,W,Yes,6.03
0.9968,2.99,9.9,4,W,Yes,7.04
0.9938,3.32,10.2,5,W,Yes,13.16
0.993,3.22,9.5,6,W,No,16.8
0.994,3.31,10.5,5,W,Yes,6.16
0.9918,3.32,11.2,7,W,No,22.21
0.9958,3.21,9.2,5,W,Yes,6.03
0.9944,3.44,9.7,6,W,No,11.62
0.9912,3.3,11.1,7,W,No,22.15
0.9961,3.31,9.4,5,W,Yes,10
0.9939,3.03,11,5,W,Yes,11.15
0.9961,3.31,9.4,5,W,Yes,10
0.9989,3.31,9.4,5,W,Yes,8.3
0.9938,3.04,11,5,W,Yes,11.09
0.9939,3.03,11,5,W,Yes,11.15
0.9971,3,9.1,6,W,No,8.7
0.9912,3.3,11.1,7,W,No,22.15
0.9936,3.42,9.1,6,W,No,15.16
0.9929,3.39,10.4,6,W,No,16.61
0.9998,3.32,8.7,5,W,Yes,9.7
0.9938,3.5,9.7,6,W,No,14.23
0.9969,3.17,9.1,6,W,No,6.92
0.9938,3.5,9.7,6,W,No,14.23
0.9998,3.32,8.7,5,W,Yes,9.7
0.9972,3.37,8.9,4,W,Yes,5.86
0.9976,3.34,9.6,6,W,No,9.45
0.9976,3.31,9.5,6,W,No,9.42
0.9979,3.09,9,6,W,No,8.18
0.9979,3.09,9,6,W,No,8.18
0.9979,3.09,9,6,W,No,8.18
0.9979,3.09,9,6,W,No,8.18
0.9972,3.27,9.6,6,W,No,9.41
0.9918,3.34,11.1,7,W,No,21.86
0.9982,3.48,9.6,6,W,No,6
0.9985,3.2,8.7,5,W,Yes,5.11
0.9944,3.13,10.4,5,W,Yes,8.81
0.9903,3.15,11.4,7,W,No,22.93
0.9934,3.3,9.7,6,W,No,14.94
0.9975,3.14,8.7,5,W,Yes,7.65
0.9923,3.37,11.3,6,W,No,18.12
0.99,3.16,12.6,7,W,No,25.81
0.9905,3.25,10.9,7,W,No,22.08
0.9905,3.25,10.9,7,W,No,22.08
0.996,3.38,10,5,W,Yes,9.39
0.9964,3.72,10,4,W,Yes,6.15
0.998,3.02,9.8,3,W,Yes,6.46
0.9975,3.14,8.7,5,W,Yes,7.65
0.9913,3.53,11.7,3,W,Yes,6.44
0.9932,3.21,9.3,6,W,No,15.88
0.9935,3.32,9.6,8,W,No,22.03
0.9927,3.27,11,7,W,No,17.85
0.9927,3.27,11,7,W,No,17.85
0.9912,3.32,11.8,6,W,No,19.53
0.9904,3.28,11.4,4,W,Yes,13
0.9939,3.32,10.2,6,W,No,13.03
0.9996,2.93,8.9,5,W,Yes,9.26
0.9944,3.17,10.2,5,W,Yes,7.89
0.9977,3.08,9.6,6,W,No,5.1
0.9912,3.1,10.6,6,W,No,19.32
0.9996,2.93,8.9,5,W,Yes,9.26
0.9965,3.25,9.2,6,W,No,8.68
0.9944,3.34,9.7,5,W,Yes,7.62
0.9945,3.34,9.7,6,W,No,10.33
0.9944,3.34,9.7,6,W,No,10.43
0.9965,3.25,9.2,6,W,No,8.68
0.9944,3.33,9.7,5,W,Yes,7.56
0.9972,3.29,9.3,5,W,Yes,6.03
0.9949,3.24,9,5,W,Yes,8.79
0.9966,3.05,9.5,5,W,Yes,9.87
0.9954,3.14,9.8,6,W,No,9.83
0.9954,3.14,9.8,6,W,No,9.63
0.9915,2.89,10.6,5,W,Yes,17.24
0.9919,3.05,10.6,4,W,Yes,12.7
0.9916,3.26,12.4,7,W,No,21.93
0.99,3.19,12.6,8,W,No,28.8
0.9909,3.3,12.3,8,W,No,24.82
0.9938,3.08,10.5,4,W,Yes,8.54
0.9982,3.19,9.3,5,W,Yes,6.02
0.9988,3.12,8.8,5,W,Yes,6.3
0.9961,3.08,8.8,5,W,Yes,7.09
0.9978,3.22,9.7,6,W,No,7.37
0.9979,2.98,9,7,W,No,6.94
0.9979,2.98,9,7,W,No,6.94
0.9979,2.98,9,7,W,No,6.94
0.9979,2.98,9,7,W,No,6.94
0.9945,3.52,10.5,6,W,No,12.1
1,2.96,9.1,5,W,Yes,9.43
0.9957,3.44,9.8,7,W,No,12.64
0.9968,3.23,8.5,3,W,Yes,6.29
0.9934,3.37,9.4,6,W,No,15.54
0.9976,3.09,9.4,5,W,Yes,9.61
0.9932,3.19,11.2,7,W,No,20.78
0.997,3.17,10,6,W,No,7.63
0.9923,3.15,10.3,6,W,No,17.52
0.9914,3.27,10.8,6,W,No,18.22
0.992,3.13,10.5,6,W,No,19.23
0.9914,3.27,10.8,6,W,No,18.22
0.9914,3.32,11.1,6,W,No,18.76
0.9949,3.2,9.9,6,W,No,11.76
0.9949,3.2,9.9,6,W,No,11.76
0.995,3.2,9.9,5,W,Yes,8.77
0.995,3.2,9.9,6,W,No,11.86
0.9927,3.2,10.4,7,W,No,17.85
0.9928,3.21,10.4,6,W,No,14.64
0.9917,3.4,11.5,7,W,No,21.58
0.9918,3.53,12.5,8,W,No,20.03
0.9954,3.36,10,6,W,No,14.16
0.9941,3.29,10,6,W,No,11.54
0.9941,3.29,10,5,W,Yes,8.6
0.9934,3.09,9.1,6,W,No,16.57
0.9927,3.21,10.6,6,W,No,15.11
0.9938,3.19,10.5,5,W,Yes,8.76
0.9933,3.52,11.5,7,W,No,15.02
0.9934,3.54,10.1,6,W,No,13.82
0.9927,3.61,10.3,7,W,No,18.87
0.9938,3.19,10.5,5,W,Yes,8.76
0.9927,3.21,10.6,6,W,No,15.11
0.9946,3.16,10.4,6,W,No,10.45
0.993,3.02,11.4,5,W,Yes,16.87
0.9946,3.18,10.5,5,W,Yes,10.71
0.9976,2.96,10,6,W,No,5.12
0.9944,3.19,10,6,W,No,12.51
0.9978,3.23,9.6,6,W,No,7.43
0.992,3.17,10.4,5,W,Yes,15.1
0.9912,3.36,12.5,8,W,No,24.96
0.9927,3.2,10.6,5,W,Yes,11.96
0.9906,3.28,11.8,6,W,No,19.79
0.9954,3.11,9.8,5,W,Yes,5.86
0.9923,3.25,10.8,5,W,Yes,10.92
0.9906,3.28,11.8,6,W,No,19.79
0.991,3.32,11.2,6,W,No,18.74
0.9972,3.28,9.3,6,W,No,9.71
0.9945,3.45,10.4,5,W,Yes,13.77
0.9934,3.43,10.2,7,W,No,19.32
0.9964,3.19,9,7,W,No,11.95
0.9948,3.2,10,6,W,No,17.25
0.9962,3.18,9.1,6,W,No,7.47
0.9931,3.29,10,5,W,Yes,12.2
0.993,3.29,10,6,W,No,15.24
0.9942,3.28,9.6,6,W,No,12.96
0.9906,3.36,11.2,7,W,No,22.03
0.9995,3.2,8.8,6,W,No,5.9
0.998,3.15,10,6,W,No,5.45
0.997,3.15,10,5,W,Yes,9.67
0.9914,3.27,11.4,7,W,No,22.3
0.992,3.03,11.9,7,W,No,20.64
0.9924,3.14,9.6,6,W,No,15.84
0.992,3.03,11.9,7,W,No,20.64
0.9937,3.25,9.6,6,W,No,13.32
0.9978,2.89,9,6,W,No,9.39
0.9978,2.89,9,6,W,No,9.39
0.9927,3.15,9.5,6,W,No,17
0.994,3,10.4,6,W,No,19.4
0.9935,3.2,10.6,6,W,No,15.18
0.9968,3.28,10.2,6,W,No,8.76
0.9941,3.15,8.9,5,W,Yes,12.93
0.9942,3.4,9.7,6,W,No,11.82
0.9978,2.89,9,6,W,No,9.39
0.9923,3.49,11.4,7,W,No,20.57
0.9912,3.4,12.3,7,W,No,21.82
0.9923,3.49,10.8,6,W,No,17.07
0.9927,3.12,9.4,6,W,No,17.08
0.9931,3.17,10.6,6,W,No,17.76
0.9941,3.17,11.6,5,W,Yes,5.8
0.9927,3.12,9.4,6,W,No,17.08
0.9931,3.17,10.6,6,W,No,17.76
0.9934,3.34,10,5,W,Yes,14.17
0.9936,3.1,9.2,6,W,No,15.41
0.9893,3.51,12.5,7,W,No,23.33
0.9893,3.51,12.5,7,W,No,23.33
0.9919,3.32,10.4,7,W,No,20.43
0.9924,3.15,10,7,W,No,20.82
0.9927,3.22,10,6,W,No,16.03
0.9919,3.32,10.4,7,W,No,20.43
0.9924,3.15,10,7,W,No,20.82
0.9975,3.1,9,6,W,No,9.92
0.9969,3.12,9.2,6,W,No,8.09
0.9936,3.1,9.2,6,W,No,15.41
0.991,3.38,11.3,7,W,No,20.2
0.9893,3.51,12.5,7,W,No,23.33
0.9906,3.48,10.8,7,W,No,20.22
0.9941,3.12,10.1,5,W,Yes,10.29
0.995,3.39,9.7,6,W,No,11.77
0.9983,3.18,9.3,7,W,No,5.57
0.9983,3.18,9.3,7,W,No,5.57
0.9916,3.1,10.6,5,W,Yes,16
0.9957,3.36,10.2,6,W,No,8.41
0.99,3.08,12.2,6,W,No,21.77
0.9976,3.19,8.8,5,W,Yes,6.99
0.992,3.18,10,5,W,Yes,14.42
0.9917,3.09,11.4,5,W,Yes,16.65
0.9917,3.46,11.4,6,W,No,18.27
0.9993,3.35,9.4,5,W,Yes,9.17
0.9908,3.3,11.7,6,W,No,18.37
0.9917,3.46,11.4,6,W,No,18.27
0.9976,3.19,8.8,5,W,Yes,6.99
0.9934,3.23,9.2,5,W,Yes,12.84
1,3.07,8.7,5,W,Yes,9.03
0.9918,3.24,12.6,6,W,No,17.03
0.992,3.18,10,5,W,Yes,14.42
0.9896,3.39,12.8,7,W,No,22.43
0.9932,3.17,9.4,5,W,Yes,13.63
0.992,3.26,10.3,6,W,No,17.76
0.9917,3.09,11.4,5,W,Yes,16.65
0.9999,2.97,9,6,W,No,5.77
0.998,3.3,9.6,6,W,No,9.75
0.9918,3.16,10.5,5,W,Yes,15.41
0.9918,3.16,10.5,5,W,Yes,15.41
0.9999,2.97,9,6,W,No,5.77
0.998,3.3,9.6,6,W,No,9.75
0.9927,3.19,9.8,6,W,No,17.23
0.9959,3.1,9,5,W,Yes,6.82
0.9927,3.19,9.8,6,W,No,17.23
0.9929,3.31,10.5,6,W,No,17.43
0.9898,3.16,12.7,7,W,No,25.43
0.9954,3.25,10.4,6,W,No,10.5
0.9954,3.25,10.4,6,W,No,10.6
0.9954,3.25,10.4,6,W,No,10.6
0.9954,3.34,10.5,7,W,No,13.71
0.9954,3.25,10.4,6,W,No,10.5
0.9954,3.25,10.4,6,W,No,10.6
0.9974,3.09,9.4,5,W,Yes,6.91
0.9936,3.06,9.1,5,W,Yes,13.67
0.9978,3.1,9.3,5,W,Yes,6.4
0.9974,3.09,9.4,5,W,Yes,6.91
0.9927,3.21,9.8,5,W,Yes,14.16
0.9934,3.18,9.9,7,W,No,19.49
0.9938,3.07,9.2,4,W,Yes,10.49
0.9922,3.35,12.1,8,W,No,21.8
0.992,3.38,12.2,7,W,No,19.07
0.9935,3.27,9.8,5,W,Yes,12.48
0.9906,3.35,12.4,8,W,No,28.21
0.9934,3.18,9.9,7,W,No,19.49
0.9934,3.26,9.2,5,W,Yes,12.91
0.9913,3.29,11.6,7,W,No,23.08
0.9938,3.3,10.4,6,W,No,12.31
0.9898,3.43,12.9,8,W,No,27.89
0.9975,3.26,9.3,6,W,No,9.92
0.9975,3.2,11,6,W,No,5.18
0.9937,3.24,11.5,3,W,Yes,5.35
0.9914,3.53,12.4,5,W,Yes,14.96
0.9982,3.44,9.8,6,W,No,8.09
0.9982,3.44,9.8,6,W,No,8.09
0.9929,3.48,10.5,7,W,No,19.52
0.9971,3.03,9.1,5,W,Yes,5.12
0.9921,3.24,10.1,5,W,Yes,14.39
0.9931,3.46,10.6,7,W,No,18.75
0.9924,3.41,10.5,7,W,No,19.95
0.9929,3.48,10.5,7,W,No,19.52
0.9982,3.44,9.8,6,W,No,8.09
0.9892,3.3,12.9,7,W,No,25.86
0.9956,2.95,9.5,5,W,Yes,7.5
0.9924,3.29,9.8,6,W,No,16.87
0.9971,3.37,8.5,5,W,Yes,8.51
0.9956,2.95,9.5,5,W,Yes,7.5
0.9982,3.22,9.3,5,W,Yes,5.76
0.9973,3.35,9.5,5,W,Yes,6.78
0.9932,3.17,9.4,6,W,No,15.59
0.9976,3.16,8.7,5,W,Yes,7.77
0.9962,2.95,8.9,5,W,Yes,5.08
0.9956,3.22,9.4,6,W,No,8.52
0.9932,3.17,9.4,6,W,No,15.59
0.9976,3.16,8.7,5,W,Yes,7.77
0.9992,3.09,9.6,5,W,Yes,7.62
0.9983,3,9.3,6,W,No,6.45
0.9937,3.14,10,5,W,Yes,12.52
0.99,3.25,12.5,6,W,No,21.08
0.9944,3.36,9.6,7,W,No,15.2
0.9938,3.24,9.4,6,W,No,12.91
0.9965,3.03,9.5,5,W,Yes,9.68
0.9893,2.99,12.4,7,W,No,27.93
0.9927,3.11,10.5,6,W,No,18.76
0.994,2.97,9.2,6,W,No,16.89
0.9928,3.32,10.4,6,W,No,17.1
0.9964,3.22,9.2,5,W,Yes,5.39
0.9917,3.33,10.6,6,W,No,17.8
0.9972,3.34,9.5,5,W,Yes,5.92
0.9964,3.22,9.2,5,W,Yes,5.39
0.9954,3.29,9.6,5,W,Yes,7.99
0.993,3.47,9.7,6,W,No,15.27
0.9928,3.46,9.7,6,W,No,15.32
0.9916,3.1,10.7,6,W,No,19.41
0.9936,3.34,10.5,6,W,No,17.26
0.9962,3.13,8.9,6,W,No,9.46
0.9899,3.09,12.1,6,W,No,22.5
0.9898,3.25,12.7,7,W,No,25.75
0.996,3.18,9.9,6,W,No,9.78
0.9907,3.2,11.4,6,W,No,19.58
0.994,3.37,10.7,6,W,No,14.35
0.9913,3.33,12.5,6,W,No,15.52
0.9976,3.08,8.6,4,W,Yes,5.37
0.9904,3.29,12.5,6,W,No,21.2
0.992,3.27,10,5,W,Yes,14.29
0.9976,3.08,8.6,4,W,Yes,5.37
0.999,3.08,9.5,6,W,No,6.81
0.9975,3.12,9.6,6,W,No,9.26
0.9937,3.2,9.9,6,W,No,16.31
0.9937,3.19,9.9,5,W,Yes,13.27
0.998,3.06,8.9,6,W,No,5.25
0.998,3.06,8.9,6,W,No,5.25
0.9944,3.01,8.8,5,W,Yes,11.32
0.9938,3.64,10,7,W,No,17.33
0.9907,3.44,12,6,W,No,17.43
0.9938,3.64,10,7,W,No,17.33
0.9921,3.21,10,6,W,No,17.39
0.9908,3.11,12.1,6,W,No,21.54
0.9931,3.16,11,6,W,No,15.69
0.9915,3.21,11.2,6,W,No,19.53
0.9952,3.17,10.3,7,W,No,13.74
0.9926,3.37,10.4,6,W,No,16.32
0.9934,3.08,9.1,5,W,Yes,13.17
0.992,3,10.4,6,W,No,19.1
0.9918,3.43,10.8,6,W,No,16.99
0.9942,3.19,11.7,5,W,Yes,5.74
0.9942,3.05,9.8,5,W,Yes,13.97
0.9942,3.05,9.8,5,W,Yes,13.97
0.9901,3.03,11.4,6,W,No,21.27
0.9898,3.03,11.2,6,W,No,20.48
0.9902,3.37,11.4,5,W,Yes,15.91
0.9934,3.09,9.2,6,W,No,14.56
0.9906,3.04,12.5,4,W,Yes,11.45
0.9898,3.36,12.6,6,W,No,20.7
0.9896,3.44,12.2,6,W,No,19.68
0.9922,3.56,11.2,6,W,No,14.38
0.9947,3.43,9.7,6,W,No,12.07
0.9945,3.06,9.3,5,W,Yes,11.2
0.9976,3.01,9,6,W,No,9.74
0.9976,3.01,9,6,W,No,9.74
0.9976,3.01,9,6,W,No,9.74
0.9987,3.09,9.1,5,W,Yes,5.58
0.9987,3.09,9.1,5,W,Yes,5.58
0.9976,3.01,9,6,W,No,9.74
0.992,3.31,10.4,5,W,Yes,14.21
0.9955,3.37,9.5,6,W,No,12.36
0.9953,3.46,11.4,4,W,Yes,8.28
0.9976,3.16,8.7,5,W,Yes,8.37
0.992,3.34,9.9,6,W,No,16.68
0.9952,3.22,9.9,6,W,No,9.75
0.9983,3.21,9,6,W,No,7.92
0.9933,3.49,10,6,W,No,15.79
0.9958,3.49,9.7,6,W,No,9.48
0.9922,3.3,11.8,6,W,No,19.55
0.9928,3.49,10.2,7,W,No,18.76
0.9976,3.16,8.7,5,W,Yes,8.37
0.9976,3.07,9.6,7,W,No,8.29
0.9916,2.93,11.3,7,W,No,25.8
0.9901,3,12.1,7,W,No,26.63
0.9976,3.07,9.6,7,W,No,8.29
0.9901,3,12.1,7,W,No,26.63
0.9916,2.93,11.3,7,W,No,25.8
0.9982,2.98,9.4,5,W,Yes,8.57
0.993,3.32,10.4,6,W,No,17.2
0.9969,3.25,9.5,5,W,Yes,7.52
0.991,3.01,12.3,6,W,No,20.32
0.9953,3.12,9.9,7,W,No,13.11
0.9924,3.24,10.1,5,W,Yes,13.99
0.9969,3.09,9.2,6,W,No,9.06
0.9928,3.08,10.4,7,W,No,22.24
0.9945,3.2,9.1,5,W,Yes,10.02
0.9967,3.12,10,6,W,No,8.93
0.9944,3.13,11.5,6,W,No,9.64
0.9928,3.08,9.8,5,W,Yes,13.71
0.9929,3.08,9.8,6,W,No,16.89
0.9948,3.19,9.4,6,W,No,12.48
0.9976,3.05,8.7,5,W,Yes,8.46
0.9912,3.32,11.6,7,W,No,21.76
0.9987,3.04,8.8,5,W,Yes,6.83
0.99,3.16,12.7,7,W,No,25.43
0.991,3.17,11.7,7,W,No,23.94
0.9933,3.13,10.2,6,W,No,17.75
0.9933,3.13,10.2,6,W,No,17.75
0.9899,3.15,12.7,7,W,No,25.42
0.9912,3.32,11.6,7,W,No,21.76
0.9912,3.38,12.3,7,W,No,19.47
0.9976,3.05,8.7,5,W,Yes,8.46
0.994,3.35,9.4,5,W,Yes,9.83
0.9947,3.13,10.1,6,W,No,12.96
0.9954,2.86,9.7,6,W,No,9.65
0.993,3.42,10.1,7,W,No,19.07
0.9954,2.86,9.7,6,W,No,9.65
0.9963,3.13,8.9,6,W,No,9.16
0.992,3.47,10.8,7,W,No,20.09
0.9926,3.42,10.8,7,W,No,20.01
0.995,3.19,9.5,6,W,No,12.07
0.9983,2.94,9.1,5,W,Yes,5.98
0.992,3.32,10.9,6,W,No,18.5
0.9968,3.2,9.4,5,W,Yes,9.59
0.9905,2.97,10.8,5,W,Yes,17.08
0.9904,2.97,10.8,5,W,Yes,17.18
0.9926,3.45,10.5,7,W,No,20.4
0.9968,3.2,9.4,5,W,Yes,9.59
0.9928,3.17,10.8,6,W,No,15.54
0.9949,3.35,10.5,8,W,No,13.67
0.9909,3.08,11.5,7,W,No,24.74
0.9937,3.11,9.4,6,W,No,16.74
0.9914,2.88,10.8,6,W,No,21.1
0.9905,2.97,10.8,5,W,Yes,17.08
0.9904,2.97,10.8,5,W,Yes,17.18
0.9924,2.99,9.8,6,W,No,18.17
0.9924,2.99,9.8,6,W,No,18.17
0.9965,3.43,9.6,5,W,Yes,6.49
0.9965,3.43,9.6,5,W,Yes,6.49
0.9993,3.34,9.5,5,W,Yes,8.53
0.9965,3.48,10.7,6,W,No,12.75
0.9908,3.25,12.4,8,W,No,27.32
0.992,3.09,11.1,6,W,No,17.25
